Nick,Mumbai.and.its.suburbs,Delhi.and.NCR,Kolkata,Chennai,Bengaluru,Hyderabad,Ahmedabad,Pune
Aadi,6,1,3,2,6,6,3,6
AB,6,6,3,3,5,6,6,5
Ak47,6,1,4,1,5,5,4,4
Alchemist,5,3,4,4,7,6,3,5
Alex.,6,5,1,1,7,1,1,1
ANIat,7,6,1,1,5,5,1,5
Andy.Dufresne,7,6,1,2,7,7,4,7
arden,6,4,2,5,6,4,2,2
AT,6,7,3,2,6,6,5,5
avi,5,1,1,3,6,6,5,6
Bachchan,7,1,6,4,6,4,6,3
Bahubali,1,1,1,1,5,7,1,1
Baloo,7,7,4,3,3,4,4,6
Balu,2,6,1,1,6,6,2,4
BAT.MAN,2,2,2,6,6,7,2,6
Batman,7,7,2,1,1,3,3,3
Batman1,6,7,3,2,4,5,4,6
Batman's.Sidekick,7,5,5,1,7,6,3,5
Batwoman,7,7,3,3,5,5,3,5
Bhatta,5,4,2,3,5,7,3,5
Blossom,5,7,1,1,5,4,1,2
Blossom.,4,4,5,4,3,6,4,6
Bob.the.builder,1,1,1,1,5,7,2,5
Bob.the.Builder1,4,6,1,2,4,5,1,3
Bond420,6,7,1,2,4,5,4,4
Boxer,2,7,1,1,6,6,2,6
Bruce.Wayne,5,2,3,3,6,6,4,6
Bruce.Wayne1,5,4,5,6,3,5,6,6
Bugs,4,5,2,4,5,7,2,4
Bunny,5,5,4,3,5,5,5,4
Bunny1,7,3,3,1,4,4,1,2
BUNNY2,7,6,3,5,6,6,4,7
Byomkesh,4,6,2,5,5,6,5,5
Calvin,7,5,5,2,6,5,5,6
Camus,6,6,1,1,5,4,3,2
Captain.America,7,6,2,3,5,6,2,6
Captain.Planet,3,3,3,3,6,7,3,3
Captain.Spark,5,5,6,5,6,5,2,5
Charlie.Brown,7,3,2,1,4,6,4,5
Crimemaster.Go-Go,6,6,2,1,5,4,6,2
crimemastergogo,4,5,3,1,5,6,1,2
crystal,5,6,1,1,6,6,1,5
DarkKnight,7,3,2,3,6,7,4,6
David,4,1,2,6,7,6,3,4
Don.Juan,5,7,1,1,5,6,1,5
Dudley,5,3,4,2,5,7,3,6
Dumdum,6,6,2,2,5,5,3,5
Elessar,6,4,5,4,6,6,5,6
Elon,5,4,6,4,5,7,6,6
Flash,6,5,3,1,7,5,4,3
Fomo.Sapien,7,7,1,1,5,4,2,1
Gambit,2,2,5,1,4,6,5,6
garfield,5,5,4,1,6,5,6,6
Gatsby,5,6,4,4,5,6,2,3
Gautam.Buddha,3,6,4,2,3,5,5,5
Gazal,5,6,3,3,6,5,4,5
Genie,6,6,1,2,2,5,4,4
Gladiator,6,3,2,4,5,4,2,3
Gurkel,7,5,4,1,7,6,6,6
Hans.Landa,4,7,2,2,5,7,4,5
Harry,6,5,2,2,7,5,2,5
Hawkgirl,7,1,1,3,6,5,4,6
Hector,7,3,2,4,7,7,4,6
Hercule.Poirot,5,6,5,6,7,5,5,6
Hermoine,7,7,1,2,6,6,1,4
Hicup,7,7,5,6,7,7,6,6
Hiesenberg,6,7,1,1,6,6,6,6
highway_star,5,4,5,2,2,5,2,5
Hippo,6,6,2,3,6,2,2,6
Hobbes,7,7,5,6,7,7,5,6
Hobbes1,2,1,1,5,2,7,3,3
Hodor,6,7,2,2,6,5,3,4
IceCool,3,4,6,2,4,7,1,3
Ignatius.Reilly,3,2,7,1,5,3,3,2
Iron.Man,7,3,3,2,6,6,5,7
ISBian,4,4,3,5,5,6,4,3
itachi,5,5,2,5,6,6,3,3
Itachi.Uchiha,2,7,2,2,2,5,5,5
Jane,5,5,2,1,7,5,2,3
Jean.Grey,6,4,3,3,6,6,3,3
Jerry,7,3,3,5,5,5,2,6
Jerry1,1,7,1,1,5,7,1,1
Jerry2,4,7,3,1,4,3,3,3
Jerry3,5,7,1,4,5,6,4,6
Jewel,4,4,4,4,5,5,5,5
Joker,2,5,2,6,6,6,2,5
Joker1,6,4,4,5,5,5,5,5
Joker2,6,6,5,5,5,7,4,6
Jordan,4,4,2,2,4,4,2,4
Jossy,6,6,3,2,6,5,2,2
Jughead,6,6,6,3,5,6,5,6
Kabali,5,5,3,3,5,6,3,5
Kajol,1,5,1,7,7,7,4,4
kakashi,5,6,6,4,7,5,3,5
Karla,1,1,3,7,5,5,3,3
Katara,6,6,4,4,5,5,6,6
Kay.Jay,6,6,4,3,5,6,5,6
KD.Batman,5,4,5,3,5,5,3,5
Kevin,3,2,2,1,6,7,3,6
King.Julian,6,5,1,1,7,4,3,6
Kingshuk,6,4,3,4,4,6,5,7
Kriti,7,6,4,1,4,7,4,6
Kso.-.Iron.Man,7,5,3,3,6,5,3,6
Kung-Fu.Panda,7,4,2,1,3,7,3,5
Kuplan,3,1,1,5,6,7,3,7
langdon,1,1,6,5,7,7,1,2
LOL,5,1,1,1,2,7,5,6
LunaLovegood,6,6,3,4,6,5,4,6
Magneto,2,7,2,2,2,2,4,2
Marie,4,4,3,3,6,6,2,5
Marty.McFly,5,6,2,2,6,5,2,5
Maverick,7,6,1,2,6,6,1,2
maverick1,6,2,6,2,6,5,2,5
Max.Ray,5,1,1,6,5,7,2,2
Meera,4,3,1,1,4,5,2,6
mini,7,5,1,1,6,1,1,4
mini1,7,7,4,1,7,4,1,4
minion,5,6,6,6,7,7,5,7
Mogli,4,4,2,4,5,6,2,6
MoonFace,4,2,5,2,7,6,4,4
Mowgli,4,7,1,2,7,2,2,2
Mr..J,7,7,2,3,6,6,2,3
Nams,4,7,5,2,4,6,5,5
Nanu,7,6,3,3,6,6,3,6
Naruto,3,3,3,4,7,5,1,4
Nemo,7,7,3,2,6,5,3,3
Neo,4,6,2,2,4,5,3,5
Neo1,3,6,2,2,4,5,2,5
neo2,6,5,2,3,6,5,4,3
Ninja,1,1,1,4,4,7,2,1
Obelix,2,5,5,1,7,7,1,7
Oswald,5,5,1,1,3,6,2,2
PAL,7,6,2,1,5,4,1,6
PetroHead,2,4,1,2,4,6,6,7
Phoebe,5,5,1,1,3,5,1,3
Pikachu,2,2,4,7,2,7,5,6
Pikachu1,2,2,5,1,5,6,4,7
Pikachu2,2,2,2,5,6,6,2,2
Pip,6,4,3,3,6,6,5,7
Pirlo,5,4,2,2,5,5,3,3
pixie,7,6,3,5,6,4,4,6
PJ,5,6,2,2,5,5,4,5
PK,6,2,2,4,5,6,2,4
PlainJane,3,6,2,2,6,6,2,6
plainvaingirl,6,7,1,3,6,6,2,5
Po,6,6,5,5,5,5,2,3
Po.ping,6,5,4,5,7,7,5,7
pocahontas,6,5,2,2,5,5,2,2
Poison,5,7,4,2,7,6,5,6
Poo,6,1,1,2,2,6,5,5
Popeye,5,6,1,2,4,6,4,4
Popeye1,1,7,6,5,5,5,5,5
POPEYE2,5,6,1,2,2,3,2,3
Popeye3,5,7,1,2,4,5,4,7
Popeye4,4,6,3,2,3,6,4,6
Prats,6,4,1,4,7,6,1,3
Princess.Consuela.Banana.Hammock,6,7,3,3,6,6,2,3
Rajjo,6,6,1,3,6,6,2,6
Rancho,6,2,2,2,6,6,2,6
Ritu,6,6,2,6,7,6,6,5
Rocky,4,6,5,4,5,7,6,6
Rocky1,7,2,3,1,6,6,5,6
Roronoa,5,4,2,5,6,6,5,6
Roscian,4,3,1,3,5,6,7,4
Russell,2,3,3,2,2,3,6,6
Saaboo,2,5,2,2,5,4,3,2
sage,3,1,1,3,1,6,3,6
sakura,6,3,5,3,7,5,2,4
Samurai.Jack,7,1,2,1,5,1,5,3
Samwise.Gamgee,7,6,1,1,2,6,3,5
SAP,1,5,1,4,6,6,1,1
Saranga,6,5,4,5,4,6,6,6
Scarlett,7,6,4,5,5,6,5,6
Scarlett.O'Hara,3,2,4,3,6,6,2,6
Scofield,7,3,3,3,5,5,6,5
Scooby,7,1,4,1,7,6,1,5
Scooby2,6,2,4,4,3,5,6,6
Scorpio,2,3,5,3,6,7,3,5
Severus.Snape,4,2,5,1,4,7,6,3
Shadow.Cat,7,3,1,5,7,5,1,5
Shaktiman,5,6,2,3,6,6,2,3
Sheldon.Cooper,4,3,3,5,7,6,2,3
Shrek,6,7,3,3,3,6,3,6
Sid,6,1,1,1,6,3,1,5
SilverSurfer,6,6,3,1,6,6,1,1
SK,5,5,4,3,5,6,3,5
skjdskd,4,5,2,5,5,7,5,5
slytherin,2,1,2,7,6,5,2,5
Smile,2,2,2,2,5,6,2,3
sona,7,6,3,2,7,6,6,6
Spiderman,4,4,1,2,4,5,2,5
Spiderman2,2,6,4,2,5,6,4,6
SrveyMonkey,5,6,3,1,7,7,1,5
Stone.Cold,7,1,1,1,4,6,4,2
Stupid-Monk,3,4,3,2,4,6,3,3
Su,7,5,2,1,6,4,1,4
Sully,1,1,1,7,6,3,1,1
Supertramp,3,1,1,3,6,6,1,3
Tal,1,2,1,2,5,7,6,5
The.Dark.Knight,4,2,1,2,6,7,1,6
The.Dark.Knight1,7,7,1,3,6,5,2,6
The.Dude,6,4,3,3,6,5,3,3
The.Joker,7,5,5,5,6,6,5,6
The.Rock,7,1,1,1,1,1,1,1
The.Tramp,4,3,1,7,4,5,3,3
Theodore,5,7,5,4,6,7,6,6
thirty-rnsl221,7,6,1,6,2,6,2,5
Thor,2,3,2,5,5,6,2,3
Tiana,2,3,2,5,5,7,2,6
Timon,6,7,5,3,7,5,3,4
Tin.Tin,5,1,3,5,5,5,3,5
TinTin,4,3,1,4,6,7,2,6
Tom-Jerry,7,7,3,3,5,7,4,7
ultraoptic,5,6,3,2,6,6,6,6
vaichh,5,5,2,2,4,5,2,6
vaseline,6,1,3,4,5,6,5,7
Vinz,3,6,6,6,6,6,2,4
WanderLust,4,1,2,3,7,7,3,3
Winner,5,5,1,1,5,5,1,4
ZOT,5,6,3,1,5,4,5,5
